name,audio_id,cc
Canyon Towhee,51060,Ted Parker
Canyon Towhee,51056,Ted Parker
White-eyed Vireo,11790,Robert C. Stein
Bell's Vireo,11719,Robert C. Stein
Northern Mockingbird,10292,Robert C. Stein
Northern Mockingbird,10291,Robert C. Stein
Killdeer,204009971,Malcolm Mark Swan
Great Egret,108281841,Paul Marvin
Blue Jay,303438381,Kevin (Seth) Long
Red-crowned Amazon,154160041,Will Schenck
Western Kingbird,101664691,Winston Caillouet
Common Grackle,610289149,Texas Bird Family
Barn Swallow,319322931,Cin-Ty Lee-NFC Lee
Greater Roadrunner,215383451,Caleb Helsel
Rufous-crowned Sparrow,151133011,Marky Mutchler
Great Horned Owl,71059901,Shelia Hargis
Carolina Chickadee,110145,Jeff Bolsinger
Wood Duck,539096601,Tayler Brooks
Northern Bobwhite,452810011,Liam Wolff
Scissor-tailed Flycatcher,20705971,Paul Marvin
Altamira Oriole,213744,Bob McGuire
Bewick's Wren,105548,Geoffrey A. Keller
Bell's Vireo,105540,Geoffrey A. Keller
Plain Chachalaca,45050,Geoffrey A. Keller
American Kestrel,115226601,Paul Marvin
Blue-gray Gnatcatcher,66075531,Paul Marvin
Barn Swallow,423112981,Dana Sudborough
European Starling,624523112,Brandon Woo
Black-and-white Warbler,577642071,James (Jim) Holmes
Spotted Sandpiper,374414451,Ron Weeks
Eastern Phoebe,280294981,Ty Allen
Orange-crowned Warbler,278708301,Mike Austin
Blue Jay,163952351,Ty Allen
Bronzed Cowbird,115684131,Paul Marvin
Mississippi Kite,110991411,David Sarkozi cc
Greater Yellowlegs,403742961,Liam Wolff
Blue Jay,395718321,Matthew DeLange
Willow Flycatcher,101126241,Christian Fernandez
House Sparrow,105556,Geoffrey A. Keller
Little Blue Heron,358014721,Evan Chastain
American Coot,110386481,Paul Marvin
Canada Goose,311977431,Kevin (Seth) Long
Wild Turkey,254547931,Liam Wolff
Wild Turkey,160257491,David Sarkozi cc
Red-crowned Amazon,439083931,Liam Huber
Limpkin,336919421,Mike Austin
Pied-billed Grebe,521485481,Jeremy Nance
Yellow-billed Cuckoo,105244391,Robert Bochenek
Mourning Dove,630380469,Texas Bird Family
MacGillivray's Warbler,618578530,Jeffrey Mann
Prairie Warbler,617096008,Brady Schwab
Pileated Woodpecker,601645751,Karen Goodger
Cave Swallow,577094601,James (Jim) Holmes
Rufous-crowned Sparrow,574668031,James (Jim) Holmes
Cooper's Hawk,564945401,Kade Jackson
Cooper's Hawk,556630531,Vidhya Sundar
Yellow-bellied Sapsucker,521618351,Dave Grise
Broad-winged Hawk,479749251,Dana Sudborough
Louisiana Waterthrush,389983841,Liam Wolff
Killdeer,358014671,Evan Chastain
Lark Sparrow,339421521,Simon Burton
Brown-headed Cowbird,321864321,Kevin Smith
Egyptian Goose,313783351,Zachary Tonzetich
Western Meadowlark,306083041,Laura Sare
Couch's Kingbird,267529731,Andrew Spencer
Eastern Screech-Owl,232442781,Cin-Ty Lee
Eastern Meadowlark,209643941,Jason Leifester
Great-tailed Grackle,203750361,Jake Turin
Common Raven,83560311,Vincent O'Brien
Northern Parula,58798391,Shelia Hargis
Belted Kingfisher,364570281,Cin-Ty Lee
Pyrrhuloxia,188222,Bob McGuire
Gray Vireo,163241,Greg Lasley
Northern Parula,163237,Greg Lasley
White-eyed Vireo,105579,Geoffrey A. Keller
Lesser Goldfinch,105536,Geoffrey A. Keller
Hooded Oriole,105506,Geoffrey A. Keller
Hooded Oriole,105254,Geoffrey A. Keller
Yellow-green Vireo,76766,Curtis Marantz
Yellow-green Vireo,76764,Curtis Marantz
Colima Warbler,68935,William W. H. Gunn
Northern Beardless-Tyrannulet,40558,Geoffrey A. Keller
House Sparrow,14435,Peter Paul Kellogg
Least Grebe,618424098,T B
European Starling,609770037,Texas Bird Family
Rufous Hummingbird,260541971,Kevin (Seth) Long
Clark's Grebe,329727681,Michael O'Brien
American Wigeon,533078701,John Kiseda
Great Egret,108204391,Paul Marvin
Chuck-will's-widow,61114351,Brad Imhoff
American Kestrel,20684031,Vincent O'Brien
Green Kingfisher,615352000,Richard Taylor
Forster's Tern,557454131,Mark Ross
Ruby-throated Hummingbird,490012151,Kevin Smith
Belted Kingfisher,487650131,Randy James
White-rumped Sandpiper,456994291,Cin-Ty Lee
American Avocet,439692131,Gregory Askew
Spotted Sandpiper,108203151,Paul Marvin
Osprey,108137951,Paul Marvin
Great Egret,109861211,Paul Marvin
Snow Goose,520425601,Jon McIntyre
Scissor-tailed Flycatcher,334657231,Winston Caillouet
Egyptian Goose,260657661,Caleb Helsel
Rock Wren,168122871,Doug Smith
Brown-headed Cowbird,112516441,Paul Marvin
Sanderling,388659701,Marc Hemmes
Little Blue Heron,358014701,Evan Chastain
Bald Eagle,452812581,Liam Wolff
Mourning Warbler,447466241,Kevin (Seth) Long
American Coot,207950681,Blaine Carnes
Baltimore Oriole,96718671,Winston Caillouet
Mourning Dove,467812711,Ron Weeks
Red-tailed Hawk,168515301,Greg Page
Olive Sparrow,213752,Bob McGuire
Tufted Titmouse,187339,Benjamin Clock
Yellow-throated Vireo,187338,Benjamin Clock
Scott's Oriole,105544,Geoffrey A. Keller
Summer Tanager,105258,Geoffrey A. Keller
Carolina Chickadee,105257,Geoffrey A. Keller
Summer Tanager,105248,Geoffrey A. Keller
Wild Turkey,162642801,Ty Allen
Spotted Sandpiper,109793721,Paul Marvin
American Coot,108530221,Paul Marvin
Western Grebe,104205921,Paul Marvin
Rufous-crowned Sparrow,573936551,James (Jim) Holmes
Acorn Woodpecker,452637711,Liam Wolff
Black-capped Vireo,28259771,Eric Carpenter
Great Kiskadee,216676,Bob McGuire
Great Kiskadee,213789,Bob McGuire
Common Pauraque,213755,Bob McGuire
Golden-fronted Woodpecker,213742,Bob McGuire
Common Pauraque,213738,Bob McGuire
Plumbeous Vireo,131237,Mike Andersen
Golden-cheeked Warbler,109441,Jeff Bolsinger
Black-crested Titmouse,105593,Geoffrey A. Keller
Couch's Kingbird,105592,Geoffrey A. Keller
Wilson's Plover,105578,Geoffrey A. Keller
Laughing Gull,105576,Geoffrey A. Keller
Brown-crested Flycatcher,105566,Geoffrey A. Keller
House Sparrow,105554,Geoffrey A. Keller
Great Kiskadee,105553,Geoffrey A. Keller
Long-billed Thrasher,105552,Geoffrey A. Keller
Long-billed Thrasher,105550,Geoffrey A. Keller
Green Jay,105549,Geoffrey A. Keller
Black-throated Sparrow,105545,Geoffrey A. Keller
Cassin's Sparrow,105542,Geoffrey A. Keller
House Finch,105539,Geoffrey A. Keller
Black-throated Sparrow,105537,Geoffrey A. Keller
Grasshopper Sparrow,105516,Geoffrey A. Keller
Yellow-breasted Chat,105512,Geoffrey A. Keller
Northern Cardinal,105278,Geoffrey A. Keller
Eastern Kingbird,105274,Geoffrey A. Keller
Red-eyed Vireo,105271,Geoffrey A. Keller
Indigo Bunting,105270,Geoffrey A. Keller
Wood Thrush,105263,Geoffrey A. Keller
Carolina Chickadee,105256,Geoffrey A. Keller
Cassin's Kingbird,105252,Geoffrey A. Keller
Pyrrhuloxia,105246,Geoffrey A. Keller
Black-crested Titmouse,105232,Geoffrey A. Keller
Black-capped Vireo,105222,Geoffrey A. Keller
Yellow-breasted Chat,105219,Geoffrey A. Keller
Yellow-breasted Chat,105216,Geoffrey A. Keller
Couch's Kingbird,105211,Geoffrey A. Keller
Long-billed Thrasher,76911,Curtis Marantz
Black-crested Titmouse,51800,Ted Parker
Northern Mockingbird,40630,Geoffrey A. Keller
