name,audio_id,cc
Green-winged Teal,251158831,Vincent Giroux
Vesper Sparrow,66491,William W. H. Gunn
Parasitic Jaeger,137330,Stewart D. MacDonald
Bonaparte's Gull,59229,William W. H. Gunn
Red-breasted Nuthatch,382032291,Jesse Morris
Northern Harrier,247994031,Nicole Richardson
Bank Swallow,466848671,Daniel Jauvin
Snowy Owl,54811,Martha Fischer
Sooty Grouse,203904331,Josep del Hoyo
Dusky Grouse,157903381,Pat Lucas
Boreal Owl,106820541,Daniel Jauvin
Summer Tanager,613160373,Luc Verreault
Wilson's Snipe,598176061,Ethan Denton
Great Horned Owl,521599391,Andrew Wiebe
Evening Grosbeak,401454381,Peter Blancher
Pileated Woodpecker,364950621,Lisa Cancade Hackett
Bay-breasted Warbler,360624941,Joshua Brown
Long-billed Curlew,351892901,Annie McLeod
Rock Ptarmigan,138286,Gerrit Vyn
Snow Bunting,138256,Gerrit Vyn
Least Flycatcher,7639,Robert C. Stein
Leach's Storm-Petrel,370337101,Ken Wright
Bewick's Wren,301624301,Andrew Boycott
Winter Wren,284624081,Alexandre Terrigeol
Sora,251870191,David Turgeon
Wilson's Snipe,242766181,Magdalena Z
Black-billed Magpie,206756561,Isaac Nelson
Nashville Warbler,197106,Bob McGuire
Winter Wren,136183,Matthew D. Medler
Tennessee Warbler,136180,Matthew D. Medler
Mourning Warbler,100901,Wil Hershberger
Savannah Sparrow,66436,William W. H. Gunn
Common Raven,62386,William W. H. Gunn
Northern Pygmy-Owl,224879901,Blair Dudeck
White-winged Crossbill,281655541,Quinten Wiegersma
Pigeon Guillemot,87115661,Cole Gaerber
American Black Duck,197045,Bob McGuire
Ferruginous Hawk,543351091,Mike Russum
Greater Scaup,42989,William W. H. Gunn
Northern Waterthrush,351737201,Marie Giroux
Barred Owl,123116241,Joshua Brown
Trumpeter Swan,93132281,Michael Morris
Common Grackle,133330,Geoffrey A. Keller
Common Raven,36175671,John G Woods
Horned Grebe,32240101,Andrew Spencer
Ring-necked Duck,336115851,Kathleen Dvorak
Short-eared Owl,410154191,Daniel Jauvin
Common Nighthawk,347795631,Andrew Boycott
Common Redpoll,309283011,Serge Wolf
Wood Thrush,281981821,Dan J. MacNeal
Lesser Yellowlegs,167994651,Larry Joseph
Marsh Wren,161699751,Dan J. MacNeal
Lark Sparrow,157900591,Andrew Elgin
Golden-crowned Sparrow,63108951,Liron Gertsman
Merlin,93915751,Jean Crépeau
American Redstart,396004141,Kalin Ocaña
White-rumped Sandpiper,54774,Martha Fischer
Blue-winged Teal,3408,Robert C. Stein
European Starling,104560901,Robert Keereweer
Snowy Owl,138272,Gerrit Vyn
American Kestrel,178018031,Robert Keereweer
Little Gull,339943331,Alvan Buckley
Northern Harrier,248049461,Nicole Richardson
Brown Creeper,610334875,Ethan Denton
Eastern Whip-poor-will,243509741,David Turgeon
Boreal Chickadee,224726,Bob McGuire
Nelson's Sparrow,64382191,Pat Lucas
Rough-legged Hawk,133387,Martha Fischer
Swamp Sparrow,104795081,Jeff Dyck
Harlequin Duck,59424,Grace M. Bell
Ring-necked Pheasant,208610741,Devin Johnstone
Black-capped Chickadee,197114,Bob McGuire
Iceland Gull,230185,Randolph Little
Dark-eyed Junco,395988721,Kalin Ocaña
Pied-billed Grebe,435847061,jean-francois franche
