name,audio_id,cc
Nashville Warbler,334401611,Jon Isacoff
Least Flycatcher,104489111,Stratton Hatfield
Prairie Falcon,346396691,Dave Slager
Glaucous Gull,490196311,Dave Slager
Wilson's Snipe,240346121,Jon Isacoff
California Gull,564636761,Andrew Thomas 🦅🪶
Northern Pintail,320850031,Jerred Seveyka
American Robin,634073649,Xin Cen
Sandhill Crane,626273412,Steve Hampton
Swainson's Hawk,603505801,Alan Knue
Chestnut-sided Warbler,588577561,Joey McCracken
Northern Waterthrush,492621331,Joey McCracken
Pileated Woodpecker,376836301,Andrew Thomas 🦅🪶
Rufous Hummingbird,360853911,Andrew Thomas 🦅🪶
Evening Grosbeak,342536971,Taylor Sturm
Rock Wren,342391221,Taylor Sturm
Song Sparrow,253405551,Stephen Chase
Orange-crowned Warbler,162144051,Dave Slager
Hermit Thrush,139118231,Dave Slager
Trumpeter Swan,138879511,Bruce Lagerquist
Northern Shoveler,456582931,Jerred Seveyka
Mallard,84404161,Sean Cozart
Blue Jay,609596620,Mark Selle
Ruffed Grouse,355801271,Jacob Miller
Western Wood-Pewee,345568321,Andrew Thomas 🦅🪶
Common Tern,341384971,Stephen Chase
Cliff Swallow,326808701,Jacob Miller
Red-breasted Sapsucker,244010961,Phil Green
American Three-toed Woodpecker,225307851,Dave Slager
Red-breasted Sapsucker,167820461,Glen Chapman
Spotted Towhee,101664131,Glen Chapman
Canada Goose,61113771,Dave Slager
American Kestrel,240378781,Jacob Miller
Great Blue Heron,65572061,Phil Green
Trumpeter Swan,86737561,Dave Slager
Red-tailed Hawk,47538,Dave Herr
Pied-billed Grebe,168703581,Dave Slager
Blue-winged Teal,3411,Charles A. Sutherland
Double-crested Cormorant,628895152,robert goff
Western Screech-Owl,122228081,Mason Maron
Northern Flicker,55496041,Phil Green
Gray Catbird,360340611,Andrew Thomas 🦅🪶
Evening Grosbeak,348368111,Andrew Thomas 🦅🪶
White-winged Crossbill,263328691,Michael Woodruff
Killdeer,109923401,Dave Slager
Black-capped Chickadee,94688381,Samuel Holman
Mountain Chickadee,88790941,Samuel Holman
Mountain Chickadee,88790921,Samuel Holman
Mourning Dove,581485621,Nathan Pieplow
American Golden-Plover,269160301,Andrew Spencer
Wood Duck,324848881,Phil Green
Barn Swallow,63124,Dave Herr
Great Blue Heron,2034,Charles A. Sutherland
Red-breasted Nuthatch,633606591,Xin Cen
Northern Harrier,242806461,Scott Godshall
Wilson's Snipe,330386271,Jon Isacoff
