name,audio_id,cc
Red-capped Robin,175599911,Marie Chappell
Buff-rumped Thornbill,166745441,Anonymous
Rufous Scrub-bird,79609861,James Kennerley
Yellow Thornbill,63281511,James Kennerley
Gray Butcherbird,233739,Vicki Powys
Tooth-billed Bowerbird,229496,Gregory Budney
White-plumed Honeyeater,226147,Vicki Powys
Yellow-spotted Honeyeater,202041,Emma Greig
Striated Pardalote,46624,Mary Katz
Green Rosella,8532,"Fred W. Loetscher, Jr."
Whistling Kite,352796781,Ramit Singal
Pacific Koel,276824821,Greg McLachlan
Australian Reed Warbler,62823981,James (Jim) Holmes
Australian King-Parrot,223264,Vicki Powys
Dusky Robin,99559311,Andrew Spencer
Barking Owl,233864,Vicki Powys
Sooty Owl,540436121,Zebedee Muller
Pink-eared Duck,464631431,James (Jim) Holmes
Spiny-cheeked Honeyeater,226247,Vicki Powys
Brolga,579842601,Zebedee Muller
Rufous Owl,203888471,Pieter de Groot Boersma
White-bellied Sea-Eagle,177325501,Marie Chappell
Yellow-throated Miner,177324061,Marie Chappell
Brown Treecreeper,100811431,Andrew Spencer
Olive Whistler,79491001,James Kennerley
Golden-headed Cisticola,77367531,Greg McLachlan
Gray Fantail,62821771,James (Jim) Holmes
Rainbow Lorikeet,62324751,James (Jim) Holmes
Red-backed Fairywren,58394971,Gregory Budney
Gray Shrikethrush,226047,Vicki Powys
White-faced Heron,252988901,Liam Manderson
Gray-fronted Honeyeater,61964121,James (Jim) Holmes
Spotted Pardalote,233877,Vicki Powys
Mistletoebird,62037471,James (Jim) Holmes
Yellow-tailed Black-Cockatoo,31676651,Andrew Spencer
Eastern Whipbird,234647,Vicki Powys
Pacific Black Duck,239219561,Ramit Singal
Golden Whistler,13957,Frank Cusack
Gilbert's Whistler,13953,Frank Cusack
Hardhead,283721771,Charlie Andrews
Sooty Owl,409510301,Caleb robins
Yellow-throated Miner,62824451,James (Jim) Holmes
Brown Falcon,203967221,Nicholas Talbot
Superb Fairywren,233810,Vicki Powys
Gray Shrikethrush,229612,Vicki Powys
White-plumed Honeyeater,210642,Vicki Powys
Chestnut-breasted Whiteface,203888291,Pieter de Groot Boersma
Buff-breasted Paradise-Kingfisher,203959771,Phil Gregory | Sicklebill Safaris | www.birder.travel
Gray Goshawk,95815701,Tom Tarrant
Rufous Fieldwren,464076961,James (Jim) Holmes
Budgerigar,350861481,Ramit Singal
Torresian Crow,273879711,Sara Young
White-throated Treecreeper,268394301,Thomas McPherson
Swift Parrot,266652351,Ramit Singal
White-throated Grasswren,250472121,Joshua Bergmark | Ornis Birding Expeditions
Masked Lapwing,204021051,Nicholas Talbot
Double-eyed Fig-Parrot,203970481,Phil Gregory | Sicklebill Safaris | www.birder.travel
Little Wattlebird,203910271,Josep del Hoyo
Pied Honeyeater,176318211,Tayler Brooks
Plumed Whistling-Duck,132566831,Sara Young
Little Penguin,117244171,Ramit Singal
Pallid Cuckoo,101486791,Andrew Spencer
Gray-crowned Babbler,101314941,Andrew Spencer
White-throated Nightjar,91666971,Sara Young
Brown Gerygone,65570541,Greg McLachlan
Rainbow Lorikeet,233585,Tony Baylis
Australian King-Parrot,232870,Vicki Powys
Blue-breasted Quail,40407851,James Kennerley
White-winged Triller,203956751,Josep del Hoyo
Fairy Prion,490168451,Milan Sojitra
Carnaby's Black-Cockatoo,435287751,Drew Davison
European Starling,252350751,Ramit Singal
Stubble Quail,73173471,Greg McLachlan
Royal Spoonbill,239622021,Ivor Preston
Crested Pigeon,509844841,Ken Tay
Maned Duck,247785131,Anonymous
Noisy Pitta,203989661,Phil Gregory | Sicklebill Safaris | www.birder.travel
Pallid Cuckoo,182347631,Ramit Singal
White-cheeked Honeyeater,63186521,James (Jim) Holmes
Yellow Wattlebird,539519,Mark Robbins
Fan-tailed Cuckoo,233469,Tony Baylis
Eastern Yellow Robin,233466,Tony Baylis
Spiny-cheeked Honeyeater,226249,Vicki Powys
Common Cicadabird,189719,Roger McNeill
Crested Bellbird,13952,Frank Cusack
White-throated Gerygone,333305621,Zebedee Muller
Yellow Wattlebird,203887811,Pieter de Groot Boersma
Great-billed Heron,203887551,Pieter de Groot Boersma
Long-billed Corella,31676031,Andrew Spencer
Royal Spoonbill,454211811,Philip Griffin
European Starling,249872081,Ramit Singal
Eurasian Coot,101745691,Ramit Singal
Little Raven,65916441,Thomas Nataprawira
Magpie-lark,64255571,Greg McLachlan
Brown-headed Honeyeater,31671791,Andrew Spencer
Olive Whistler,539532,Mark Robbins
White-throated Honeyeater,233522,Tony Baylis
Little Eagle,273379511,Charlie Andrews
Black Falcon,128321,Linda Macaulay
Flame Robin,179247011,Ramit Singal
Painted Buttonquail,212932911,Nigel Jackett
Australasian Darter,57495981,Greg McLachlan
Eastern Yellow Robin,233465,Tony Baylis
Stubble Quail,612649336,Alfons  Lawen
Little Crow,507352211,David Secomb
Red-necked Crake,480338501,Mary Clarke
Bush Stone-curlew,477841001,Indra Bone
Short-tailed Grasswren,463092931,James (Jim) Holmes
Silver Gull,460667471,James (Jim) Holmes
Painted Buttonquail,391030621,Zebedee Muller
Speckled Warbler,361083721,Scott Eaton
Singing Honeyeater,351064471,Ramit Singal
Australian Shelduck,345070411,Lance Rathbone
Southern Whiteface,301645121,Edward Smith
Tasmanian Thornbill,254843701,Ramit Singal
Spotted Quail-thrush,254633061,Ramit Singal
Tasmanian Scrubwren,246979641,Ramit Singal
Tasmanian Scrubwren,246608741,Ramit Singal
Brown Thornbill,245129221,Ramit Singal
Southern Boobook,237878081,Kent Warner
White-browed Treecreeper,204010271,Peter Waanders
Red-lored Whistler,204010031,Peter Waanders
Glossy Black-Cockatoo,203990801,Nicholas Talbot
Black Butcherbird,203988031,Phil Gregory | Sicklebill Safaris | www.birder.travel
Macleay's Honeyeater,203981601,Phil Gregory | Sicklebill Safaris | www.birder.travel
Helmeted Friarbird,203979271,Phil Gregory | Sicklebill Safaris | www.birder.travel
Helmeted Friarbird,203972441,Phil Gregory | Sicklebill Safaris | www.birder.travel
